id,lat,lon,label
p312,34.068757768995184,72.6416033772748,Ground
p313,34.06808715585554,72.640457042751,Hard Court
p314,34.068199819234096,72.64267847066964,Tennis Court
p315,34.06817835740772,72.64352040198426,Administration
p316,34.06904210516646,72.64328724867792,Faculty of Electronics Engineering and Computer Sciences
p317,34.069589319719455,72.64223806114808,Faculty of Engineering Sciences
p318,34.06995949225855,72.64114353839503,Central Mess
p319,34.06949275269538,72.64112410899602,Student Mosque
p320,34.06992729780201,72.64396079821728,Auditorium
p321,34.0693693549362,72.6449775973563,Faculty of Mechanical Engineering 
p322,34.070200903078856,72.64566410222159,Faculty of Material and Chemical Engineering 
p323,34.0704906012847,72.64306703710622,Academic Block
p324,34.07132750191947,72.6435851544052,Library
p325,34.07161183166454,72.64491930645002,Brabers Building 
p326,34.07144552513671,72.64664204327536,Medical Center
p327,34.07089494996565,72.64736851505796,Ayan Gardens
p328,34.070790794671694,72.64740875152086,Hot n Spicy
p329,34.07062831215768,72.64743892886844,Raju Restaurnant
p330,34.07051582408023,72.64745401754223,Asrar Bucks
p331,34.07046582918427,72.64745653285951,General Store
p332,34.07035750697841,72.64745150196524,Fruit Shop
p333,34.07031167837458,72.64745904630124,Stationary Shop
p334,34.07024501854214,72.64746407585977,Tuc Shop
p335,34.0701825249014,72.64746156108049,Juice Center
p336,34.07012211433849,72.6475696965745,Laundry
p337,34.06939604070949,72.64631959811379,Habib Bank
p338,34.06898372232854,72.64724160531247,GIK School
p339,34.06860184323773,72.64600892371402,GIKI Guest House
p340,34.068513169244866,72.64518892511495,LOGIK
p341,34.07172168763172,72.6456901420556,Incubation Center
p342,34.07226367936349,72.64481162092176,Gradute Hostel
p343,34.07245318524262,72.64245518276408,Faculty Club
p344,34.073537153467115,72.64216234406027,New Gradute Hostel
p345,34.072317315053226,72.64600495356146,New GH
p346,34.07211493019551,72.64655808536517,Girls Hostel
p347,34.07185913753112,72.64648682298545,Hostel 7
p348,34.072979669627486,72.6502675838016,Residential Area
p349,34.07035719522489,72.6411486333547,Hostel 8
